source_division,name,alliance,cards,source_deck_descriptor,vanilla_deck_name_key,ysmxwifxwto_limited_code,ysmxwifxwto_unlimited_code,vanilla_official_icon_code,ysmxwifxwto_official_icon_code
Descriptor_Deck_Division_CAN_1st_Canadian_multi,1 CANADIAN DIVISION,NATO,36,Descriptor_Deck_CAN_1st_Canadian_multi,BKQFEPTBLZ,FhLzAaQUQDmoAAADmoAAADp4AAEFJgHNkFJ4HKkFKAHNkFJoHKkFJoHKkFKgHGEFKYHGEFIoHNgDjIHNADjQHJwDlIAAADkYHNkDlAAAECw4AAECw4AAECw4AAEDi4AAIDiwAAADloAAADmQAAEDqQAAADmAAAEFxAHVAFKwHJwDlwAAADlwAAAFJIHJ0E/wAAEDuIAAEDuIAAEDuQAAEFAQAAIE/4AAAg==,FhLzCaQUQDmoAAADmoAAADp4AAEFJgHNkFJ4HKkFKAHNkFJoHKkFJoHKkFKgHGEFKYHGEFIoHNgDjIHNADjQHJwDlIAAADkYHNkDlAAAECw4AAECw4AAECw4AAEDi4AAIDiwAAADloAAADmQAAEDqQAAADmAAAEFxAHVAFKwHJwDlwAAADlwAAAFJIHJ0E/wAAEDuIAAEDuIAAEDuQAAEFAQAAIE/4AAAg==,FhJm5pBNDmoAAOagAA6eAAVJhzZUnnKlSgc2VJpypUmnKlSocYVKZxhUinNg4yc0DjRycOUgAA5Gc2TlAABLDgAEsOAASw4ABOLgAI4sAADloAAOZAAE6kAADmAABXEHVBSscnDlwAAOXAABSScnU/wABO4gAE7iAATuQABUBAAJP+AACA==,FhgAAAAGntBG2AAAB5Jm5pBRAOagAAAOagAAAOngAAQUmAc2QUngcqQUoAc2QUmgcqQUmgcqQUqAcYQUpgcYQUigc2AOMgc0AONAcnAOUgAAAORgc2QOUAAAQLDgAAQLDgAAQLDgAAQOLgAAgOLAAAAOWgAAAOZAAAQOpAAAAOYAAAQXEAdUAUrAcnAOXAAAAOXAAAAUkgcnQT/AAAQO4gAAQO4gAAQO5AAAQUBAAAgT/gAACA==
Descriptor_Deck_Division_RFA_1_Luftlande_multi,1. LUFTLANDE-DIVISION,NATO,34,Descriptor_Deck_RFA_1_Luftlande_multi,UQNJNJDIKF,FhLzAaIUUGGIAAAFHQAAAAdIAAAAWAAAEFGYB9IFHAKO0FIAB80FGwKOwAvALGQAvALGQFfAAAABrwB80BE4AAIFIIAAAAdgAAAAdoAAEFFwAAIByQB80EYYAAEFeoAAEFGoCikAVYAAIAt4B9IFH4A50BP4AAIFxgAAIFxgAAEBT4AAEFxwAAEFxoAAEBNAAAIFGgDE0FGQKO0BfYB9Ag==,FhLzCaIUUGGIAAAFHQAAAAdIAAAAWAAAEFGYB9IFHAKO0FIAB80FGwKOwAvALGQAvALGQFfAAAABrwB80BE4AAIFIIAAAAdgAAAAdoAAEFFwAAIByQB80EYYAAEFeoAAEFGoCikAVYAAIAt4B9IFH4A50BP4AAIFxgAAIFxgAAEBT4AAEFxwAAEFxoAAEBNAAAIFGgDE0FGQKO0BfYB9Ag==,FhJnBohNWGIAAUdAAAHSAAAWAABUZh9JRwo7VIAfNUbKOwLwsZAvCxkV8AAAa8HzRE4ACUggAAHYAAAdoABUXAAIckHzUYYABV6gAFRqKKQVYACC3h9JR+DnRP4ACXGAAJcYAART4ABXHAAFcaAARNAACUaDE1Rko7RfYfQI,FhgAAAAGntBG2AAAB5JnBohRQYYgAAAUdAAAAB0gAAABYAAAQUZgH0gUcAo7QUgAHzQUbAo7AC8AsZAC8AsZAV8AAAAGvAHzQETgAAgUggAAAB2AAAAB2gAAQUXAAAgHJAHzQRhgAAQV6gAAQUagKKQBVgAAgC3gH0gUfgDnQE/gAAgXGAAAgXGAAAQFPgAAQXHAAAQXGgAAQE0AAAgUaAMTQUZAo7QF9gH0CA==
Descriptor_Deck_Division_US_101st_Airmobile_multi,101ST AIRBORNE DIVISION,NATO,36,Descriptor_Deck_US_101st_Airmobile_multi,SOPQEOVMKR,FhLzAaQUYAXQAAEAY4AAEEa4AAEAGQAAMAyIISoEroISkEgAAe0AYYAe0EfIEEEErwAOkEfgAOkEgQAMUEg4I2ECWABiEEhgI2EADgAAEADgAAEAVAAAEEAYAAEAGoAAEEgoAMYEggJC0DIIAe0EhQAe0EhwI2EBhwAAMDrYAAECBoAAEA3QAAEA9oAAEEiIAAMAGAAAEEewAAEEewAAEAF4AAEBqAAMQg==,FhLzCaQUYAXQAAEAY4AAEEa4AAEAGQAAMAyIISoEroISkEgAAe0AYYAe0EfIEEEErwAOkEfgAOkEgQAMUEg4I2ECWABiEEhgI2EADgAAEADgAAEAVAAAEEAYAAEAGoAAEEgoAMYEggJC0DIIAe0EhQAe0EhwI2EBhwAAMDrYAAECBoAAEA3QAAEA9oAAEEiIAAMAGAAAEEewAAEEewAAEAF4AAEBqAAMQg==,FhI3TSCbAugACDHAAKNcAAgMgAGGRQlSV1CUpAAPaDDA9qPkggpXgHSj8AdKQIBipB0bCSwDEKQxGwgHAACAcAAIKgAAoAwACA1AAKQUBjJBEhaZBA9qQoD2pDkbCMOAAZ1sAAkDQACG6AAIe0AApEQAGAwAAKPYAAo9gACAvAAI1ABiEA==,FhgAAAAGntBG2AAAB5I3TSCjAC6AAAgDHAAAgjXAAAgAyAABgGRBCVAldBCUgkAAD2gDDAD2gj5AgggleAB0gj8AB0gkCABigkHBGwgSwAMQgkMBGwgAcAAAgAcAAAgCoAAAggDAAAgA1AAAgkFABjAkEBIWgZBAD2gkKAD2gkOBGwgMOAABgdbAAAgQNAAAgG6AAAgHtAAAgkRAABgAwAAAgj2AAAgj2AAAgAvAAAgNQABiEA==
Descriptor_Deck_Division_FR_11e_Para_multi,11E DIVISION PARACHUTISTE,NATO,36,Descriptor_Deck_FR_11e_Para_multi,YSPZTECEMB,FhLzAaQUYBxIAAIBxIAAIEKYAAIBMgAAIBMgAAICSQBNoFiYEPoCSIEPkAhwAAIBxgAAEBxoAAEBxoAAECPAAAEAkYAAEAkgAAICO4AAECTIAAAAk4AAICRYEmkCRgEmkCRgEmoCRoEmoCRoEmkCSAEmkBkIBNkBwYBOkBwgBOkCTAAAEFi4EmkCQ4BNkCQ4BNkCSoAAEAigAAECQAAAECP4AAECPAAAAg==,FhLzCaQUYBxIAAIBxIAAIEKYAAIBMgAAIBMgAAICSQBNoFiYEPoCSIEPkAhwAAIBxgAAEBxoAAEBxoAAECPAAAEAkYAAEAkgAAICO4AAECTIAAAAk4AAICRYEmkCRgEmkCRgEmoCRoEmoCRoEmkCSAEmkBkIBNkBwYBOkBwgBOkCTAAAEFi4EmkCQ4BNkCQ4BNkCSoAAEAigAAECQAAAECP4AAECPAAAAg==,FhFyaQTYcSAAhxIACQpgAITIAAhMgACJJBNpYmQ+iSJD5CHAAIcYAARxoABHGgAEjwAAQkYABCSAAIjuAASTIAACTgAIkWSaSRhJpJGEmokaSaiRpJpJIEmkZCE2RwYTpHCBOkkwAAVi5JpJDhNkkOE2SSoABCKAAEkAAASP4ABI8AAAgA==,FhgAAAAGntBG2AAAB5FyaQUYBxIAAIBxIAAIEKYAAIBMgAAIBMgAAICSQBNoFiYEPoCSIEPkAhwAAIBxgAAEBxoAAEBxoAAECPAAAEAkYAAEAkgAAICO4AAECTIAAAAk4AAICRYEmkCRgEmkCRgEmoCRoEmoCRoEmkCSAEmkBkIBNkBwYBOkBwgBOkCTAAAEFi4EmkCQ4BNkCQ4BNkCSoAAEAigAAECQAAAECP4AAECPAAAAgA==
Descriptor_Deck_Division_US_11ACR_multi,11TH ARM. CAVALRY REGT.,NATO,33,Descriptor_Deck_US_11ACR_multi,HXXKRWZDMH,FhLzAaEUYAZQAAAAdIAAEAZYAAAAGQAAEBBwCOUAvACOEDw4EEAAQwEEABfQB9ABFgAAABGAAAEAXwAAEADYAAEADYAAEADYAAEADYAAEADYAAEADYAAAApAB9AAEAAAEDwwAAED7oAAEAGwAAAAlIAe0ADIAAABooBiED0QAAED0QAAEA5YAAEA5gAAEA5QAAAAYAAAECUAAAAg,FhLzCaEUYAZQAAAAdIAAEAZYAAAAGQAAEBBwCOUAvACOEDw4EEAAQwEEABfQB9ABFgAAABGAAAEAXwAAEADYAAEADYAAEADYAAEADYAAEADYAAEADYAAAApAB9AAEAAAEDwwAAED7oAAEAGwAAAAlIAe0ADIAAABooBiED0QAAED0QAAEA5YAAEA5gAAEA5QAAAAYAAAECUAAAAg,FhEw0ImwMoAAA6QACDLAAADIAAiDhHKF4EcJ4cggAhiCAL6D6AiwAACMAACC+AAIBsAAgGwACAbAAIBsAAgGwACAbAAAUgPoAIAACeGAAJ90AAgNgAAEpA9oBkAADRQxCeiAAJ6IAAhywACHMAAIcoAAAwAACSgAABA=,FhgAAAAGntBG2AAAB5Ew0IowAygAAAA6QAAIAywAAAAMgAAICDgEcoBeAEcIHhwIIAAhgIIAC+gD6ACLAAAACMAAAIAvgAAIAGwAAIAGwAAIAGwAAIAGwAAIAGwAAIAGwAAABSAD6AAIAAAIHhgAAIH3QAAIANgAAABKQA9oAGQAAADRQDEIHogAAIHogAAIBywAAIBzAAAIBygAAAAwAAAIEoAAABA=
Descriptor_Deck_Division_FR_152e_Infanterie_multi,152E DIVISION D'INFANTERIE,NATO,36,Descriptor_Deck_FR_152e_Infanterie_multi,LBRGMDXMTK,FhLzAaQUUDbYAAEEyIAAACHQAAACHQAAADM4AAEDDAJzgCGQBIUIsoBQUDzYBQUDzIBQUCcgJSkBfABQ0FvwBQ4Eq4JjgC/gGZgC/gGZkCGIBIYEwQAAEEwYAAEEwYAAEEwYAAAAoQAAEE3wBNkE3oBQUAh4AAAEowAAACGAJSkEwwBIUChoAAEChoAAEEyYAAEEyAAAIEyoAAIE6AAAIE2wAAEE3AAAAg==,FhLzCaQUUDbYAAEEyIAAACHQAAACHQAAADM4AAEDDAJzgCGQBIUIsoBQUDzYBQUDzIBQUCcgJSkBfABQ0FvwBQ4Eq4JjgC/gGZgC/gGZkCGIBIYEwQAAEEwYAAEEwYAAEEwYAAAAoQAAEE3wBNkE3oBQUAh4AAAEowAAACGAJSkEwwBIUChoAAEChoAAEEyYAAEEyAAAIEyoAAIE6AAAIE2wAAEE3AAAAg==,FhJmBpBNTbYABTIgAAh0AACHQAAMzgAEwwnOCGQSFiyhQU82FBTzIUFJyJSkXwFDVvwUOSrpjgv4ZmC/hmZIYhIZMEAAUwYABTBgAFMGAAAoQABTfBNlN6FBQh4AASjAAAhglKUwwSFKGgAEoaAAUyYABTIAAJMqAAk6AACTbAAFNwAACA==,FhgAAAAGntBG2AAAB5JmBpBRQNtgAAQTIgAAAIdAAAAIdAAAAMzgAAQMMAnOAIZAEhQiygFBQPNgFBQPMgFBQJyAlKQF8AFDQW/AFDgSrgmOAL+AZmAL+AZmQIYgEhgTBAAAQTBgAAQTBgAAQTBgAAAChAAAQTfAE2QTegFBQCHgAAASjAAAAIYAlKQTDAEhQKGgAAQKGgAAQTJgAAQTIAAAgTKgAAgToAAAgTbAAAQTcAAACA==
Descriptor_Deck_Division_BEL_16e_Mecanisee_multi,16DE PANTSERDIVISION,NATO,35,Descriptor_Deck_BEL_16e_Mecanisee_multi,ZYYGBZIEQE,FhLzAaMUUCZ4AAADiQAAADiQAAADPAAAEC5YEy0C5gEzUC5gEzUC5QEy0CqAEy0CcAFoUCcQE0kCyIFlkCyQFlkC6QFdACzQAAACzQAAECxIAAECxQAAECxQAAECxQAAECxAAAEBOIAAICvoGdYDHYFdEBgoAAEERQAAEC24FdEDiYAAECpIAAEEOgAAIEOoAAEDVIAAEDYQAAEDYAAAEDX4AAAg,FhLzCaMUUCZ4AAADiQAAADiQAAADPAAAEC5YEy0C5gEzUC5gEzUC5QEy0CqAEy0CcAFoUCcQE0kCyIFlkCyQFlkC6QFdACzQAAACzQAAECxIAAECxQAAECxQAAECxQAAECxAAAEBOIAAICvoGdYDHYFdEBgoAAEERQAAEC24FdEDiYAAECpIAAEEOgAAIEOoAAEDVIAAEDYQAAEDYAAAEDX4AAAg,FhHtmjE1JngAA4kAADiQAAM8AAEuWTLS5hM1LmEzUuUTLSqBMtJwFoUnETSSyJZZLJFlkukV0CzQAALNAAEsSAASxQABLFAAEsUAASxAABE4gAIr6Z1jHZXRGCgAFEUAAS25XROJgAEqSAAUOgACQ6gAE1SAATYQABNgAAE1+AAC,FhgAAAAGntBG2AAAB5HtmjFFAmeAAAA4kAAAA4kAAAAzwAABAuWBMtAuYBM1AuYBM1AuUBMtAqgBMtAnABaFAnEBNJAsiBZZAskBZZAukBXQAs0AAAAs0AABAsSAABAsUAABAsUAABAsUAABAsQAABATiAACAr6BnWAx2BXRAYKAABBEUAABAtuBXRA4mAABAqSAABBDoAACBDqAABA1SAABA2EAABA2AAABA1+AAAI=
Descriptor_Deck_Division_UK_1st_Armoured_multi,1ST ARMOURED DIVISION,NATO,34,Descriptor_Deck_UK_1st_Armoured_multi,SWPIKAMRSW,FhLzAaIUQBtYAAACdYAAACLwAAEDbwAAECLAA9UAqwEVkAqwEVkCJIA+QBkAESoCUYEVECUgERAAe4AAECJgAAECJoAAECJoAAEAfYAAEAfYAAEAfYAAAD6QAAAD6QAAICKQEVEAegAAEAeIAAACLIA/UCKoEVECIwEREAfgAAECL4AAECMQAAEAwYAAEBYgAAEBugAAAAf4AAECMQAAAg==,FhLzCaIUQBtYAAACdYAAACLwAAEDbwAAECLAA9UAqwEVkAqwEVkCJIA+QBkAESoCUYEVECUgERAAe4AAECJgAAECJoAAECJoAAEAfYAAEAfYAAEAfYAAAD6QAAAD6QAAICKQEVEAegAAEAeIAAACLIA/UCKoEVECIwEREAfgAAECL4AAECMQAAEAwYAAEBYgAAEBugAAAAf4AAECMQAAAg==,FhF6aITQbWAACdYAAIvAAE28AASLAPVCrEVkKsRWSJIPkGQESolGRUSUhEQB7gAEiYAASJoABImgAEH2AAQfYABB9gAA+kAAD6QACIpEVEHoAAQeIAAIsg/UiqRUSIxERB+AAEi+AASMQABDBgAEWIAARugAAB/gAEjEAACA,FhgAAAAGntBG2AAAB5F6aIUQBtYAAACdYAAACLwAAEDbwAAECLAA9UAqwEVkAqwEVkCJIA+QBkAESoCUYEVECUgERAAe4AAECJgAAECJoAAECJoAAEAfYAAEAfYAAEAfYAAAD6QAAAD6QAAICKQEVEAegAAEAeIAAACLIA/UCKoEVECIwEREAfgAAECL4AAECMQAAEAwYAAEBYgAAEBugAAAAf4AAECMQAAAgA==
Descriptor_Deck_Division_US_1st_Cavalry_multi,1ST CAVALRY DIVISION,NATO,35,Descriptor_Deck_US_1st_Cavalry_multi,DNKNVDUUFE,FhLzAaMMYOlwAAABfgAAgAPAABAAeAAAAPAAAEA+QAAIB8gAAQAOgAAgAdAABB1YAACDqwAAEHTQAAIERQAAQB9gAAg6fAJlBIMADqDpgAAEAlIAe4BKQA9wLaAAAgAsAABABeAAACg0AAAHSQAAIA+wAAQAagAAgD8AABBm8AACAzEAAEA4YAAIEoAAAQdQAAAA6dB0tB02DpSALUAHQQA=,FhLzCaMMYOlwAAABfgAAgAPAABAAeAAAAPAAAEA+QAAIB8gAAQAOgAAgAdAABB1YAACDqwAAEHTQAAIERQAAQB9gAAg6fAJlBIMADqDpgAAEAlIAe4BKQA9wLaAAAgAsAABABeAAACg0AAAHSQAAIA+wAAQAagAAgD8AABBm8AACAzEAAEA4YAAIEoAAAQdQAAAA6dB0tB02DpSALUAHQQA=,FhJ0powtulwAAF+AAgDwAEAeAAA8AAEPkAAh8gAEA6AAgHQAF1YAAurAAF00AAkRQAEH2AAunwmVIMA6umAAEJSB7hKQPctoAAgLAAEBeAAKDQAB0kAAg+wAEBqAAg/AAFm8AAjMQAEOGAAkoAAF1AAAOnXS1026UgtQHQQ=,FhgAAAAGntBG2AAAB5J0powxg6XAAAAF+AACAA8AAEAB4AAAA8AAAQD5AAAgHyAABAA6AACAB0AAEHVgAAIOrAAAQdNAAAgRFAABAH2AACDp8AmUEgwAOoOmAAAQCUgB7gEpAD3AtoAACACwAAEAF4AAAKDQAAAdJAAAgD7AABABqAACAPwAAEGbwAAIDMQAAQDhgAAgSgAABB1AAAADp0HS0HTYOlIAtQAdBA==
Descriptor_Deck_Division_RFA_2_PzGrenadier_multi,2. PZ.GRENADIER-DIVISION,NATO,34,Descriptor_Deck_RFA_2_PzGrenadier_multi,RPGUDLLPPH,FhLzAaIUQAwQB80BiIAAEAtYB8wAVYAAEAwYAAEBToAAEBTQAAIBBIB9EBP4AAEBIQAAAAdIAAAAdIAAABMwAAAApYB8wApYB8wBOAB8wAsIB8wBfgB9MBAwB84ApIB84CFIB9EBfYB9ABGAAAABFgAAABFgAAAAdAAAEBFAAAEBFIAAEBFIAAEBFQAAEBFYAAEBFYAAAAdQAAABogDBgg==,FhLzCaIUQAwQB80BiIAAEAtYB8wAVYAAEAwYAAEBToAAEBTQAAIBBIB9EBP4AAEBIQAAAAdIAAAAdIAAABMwAAAApYB8wApYB8wBOAB8wAsIB8wBfgB9MBAwB84ApIB84CFIB9EBfYB9ABGAAAABFgAAABFgAAAAdAAAEBFAAAEBFIAAEBFIAAEBFQAAEBFYAAEBFYAAAAdQAAABogDBgg==,FhFoaITQMEHzRiIABC1h8wFWAAQwYABFOgAEU0AAhBIfRE/gAESEAAAdIAAB0gAATMAAApYfMClh8wTgHzAsIfMF+B9MQMHzgpIfOIUh9EX2H0BGAAAEWAAARYAAAdAABEUAAERSAARFIABEVAAERWAARFYAAB1AAAaIMGCA,FhgAAAAGntBG2AAAB5FoaIUQAwQB80BiIAAEAtYB8wAVYAAEAwYAAEBToAAEBTQAAIBBIB9EBP4AAEBIQAAAAdIAAAAdIAAABMwAAAApYB8wApYB8wBOAB8wAsIB8wBfgB9MBAwB84ApIB84CFIB9EBfYB9ABGAAAABFgAAABFgAAAAdAAAEBFAAAEBFIAAEBFIAAEBFQAAEBFYAAEBFYAAAAdQAAABogDBggA==
